matrix_key,source_section,orfogrammka_id,title,entry_type,parent_path,depth,source_url,status,executable,rule_ids,requires,eligible_now,reason
orthography_3_9_3,orthography,3.9.3,Парные конструкции из слов с первой частью «полу-»,leaf_rule,"[""Правила слитного, дефисного и раздельного написания"", ""Общие правила написания через дефис""]",3,https://orfogrammka.ru/орфография/парные_конструкции_из_слов_с_первой_частью_полу/,planned,false,[],[],false,planned
orthography_3_9_5,orthography,3.9.5,Сочетания со значением указания на количество или время,leaf_rule,"[""Правила слитного, дефисного и раздельного написания"", ""Общие правила написания через дефис""]",3,https://orfogrammka.ru/орфография/сочетания_со_значением_указания_на_количество_или_время/,planned,false,[],[],false,planned
orthography_3_11,orthography,3.11,Написание согласно словарю,leaf_rule,"[""Правила слитного, дефисного и раздельного написания""]",2,https://orfogrammka.ru/орфография/проверка-по-словарю/,candidate_only,true,"[""hyphen_whitelist""]","[""dictionary"", ""model""]",true,eligible_but_needs_more_training
orthography_group_pravila_upotrebleniya_propisnyh_i_strochnyh_bukv,orthography,,Правила употребления прописных и строчных букв,group,[],1,https://orfogrammka.ru/орфография/,metadata_only,false,[],[],false,metadata_only
orthography_group_pravila_upotrebleniya_propisnyh_i_strochnyh_bukv_sobstvennye_imena_i_proizvodnye_ot_nih_slova,orthography,,Собственные имена и производные от них слова,group,"[""Правила употребления прописных и строчных букв""]",2,https://orfogrammka.ru/орфография/,metadata_only,false,[],[],false,metadata_only
orthography_4_1_1,orthography,4.1.1,"Личные имена, отчества, фамилии, псевдонимы, прозвища",leaf_rule,"[""Правила употребления прописных и строчных букв"", ""Собственные имена и производные от них слова""]",3,https://orfogrammka.ru/орфография/личные_имена_отчества_фамилии_псевдонимы_прозвища/,ner_required,true,"[""capitalization_ner""]","[""model"", ""ner"", ""syntax""]",false,needs_NER
orthography_4_1_2,orthography,4.1.2,Служебные слова в составе фамилий,leaf_rule,"[""Правила употребления прописных и строчных букв"", ""Собственные имена и производные от них слова""]",3,https://orfogrammka.ru/орфография/служебные_слова_в_составе_фамилий/,planned,false,[],[],false,planned
orthography_4_1_3,orthography,4.1.3,"Составные части арабских, тюркских, персидских имён",leaf_rule,"[""Правила употребления прописных и строчных букв"", ""Собственные имена и производные от них слова""]",3,https://orfogrammka.ru/орфография/составные_части_имён_со_строчной_буквы/,planned,false,[],[],false,planned
orthography_4_1_4,orthography,4.1.4,"Имена, относящиеся к религии и мифологии",leaf_rule,"[""Правила употребления прописных и строчных букв"", ""Собственные имена и производные от них слова""]",3,https://orfogrammka.ru/орфография/имена_относящиеся_к_религии_и_мифологии/,planned,false,[],[],false,planned
orthography_4_1_5,orthography,4.1.5,Нарицательные имена со строчной буквы,leaf_rule,"[""Правила употребления прописных и строчных букв"", ""Собственные имена и производные от них слова""]",3,https://orfogrammka.ru/орфография/нарицательные_имена_со_строчной_буквы/,planned,false,[],[],false,planned
orthography_4_1_7,orthography,4.1.7,Нарицательные слова как названия персонажей,leaf_rule,"[""Правила употребления прописных и строчных букв"", ""Собственные имена и производные от них слова""]",3,https://orfogrammka.ru/орфография/нарицательные_слова_как_названия_персонажей/,planned,false,[],[],false,planned
orthography_4_1_9,orthography,4.1.9,"Имена прилагательные с суффиксами -ск-, -овск- (-евск-), -инск-",leaf_rule,"[""Правила употребления прописных и строчных букв"", ""Собственные имена и производные от них слова""]",3,https://orfogrammka.ru/орфография/имена_прилагательные_с_суффиксами_ск_овск_инск/,dictionary_model_required,false,[],"[""dictionary"", ""model""]",false,needs_dictionary
